Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2016,69.6,Green Increased Demand,45-4011.00,Forest and Conservation Workers,Environment Protection,-7.3
2016,69.6,Green Increased Demand,45-4011.00,Forest and Conservation Workers,Environment Protection,-7.3
2016,"2,628.40",Green Increased Demand,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Green Construction,199.7
2016,"2,628.40",Green Increased Demand,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Manufacturing,199.7
2016,120.2,Green Increased Demand,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Green Construction,13.3
2016,264,Green New & Emerging,51-9199.01,Recycling and Reclamation Workers,Recycling and Waste Reduction,31.4
2016,36.7,Green Increased Demand,47-3012.00,Helpers--Carpenters,Green Construction,4.7
2016,"1,130.90",Green Increased Demand,51-2092.00,Team Assemblers,Manufacturing,-145
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Manufacturing,0.1
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Manufacturing,0.1
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",0.1
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",0.1
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Transportation,0.1
2016,681.4,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Transportation,0.1
2016,278.7,Green Increased Demand,51-2022.00,Electrical and Electronic Equipment Assemblers,Manufacturing,-58.4
2016,"2,784.50",Green Increased Demand,43-4051.00,Customer Service Representatives,"Research, Design, and Consulting Services",136.3
2016,"2,784.50",Green Increased Demand,43-4051.00,Customer Service Representatives,"Research, Design, and Consulting Services",136.3
2016,192.7,Green Increased Demand,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,-16.8
2016,549.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Green Construction,36.1
2016,549.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Green Construction,36.1
2016,549.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Transportation,36.1
2016,549.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Transportation,36.1
2016,"1,216.70",Green Enhanced Skills,47-2061.00,Construction Laborers,Green Construction,150.4
2016,"1,216.70",Green Enhanced Skills,47-2061.00,Construction Laborers,Green Construction,150.4
2016,33.2,Green Increased Demand,19-4093.00,Forest and Conservation Technicians,Environment Protection,1.3
2016,187.7,Green Increased Demand,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",Manufacturing,-11.6
2016,136,Green Enhanced Skills,53-7081.00,Refuse and Recyclable Material Collectors,Recycling and Waste Reduction,17.9
2016,136,Green Enhanced Skills,53-7081.00,Refuse and Recyclable Material Collectors,Recycling and Waste Reduction,17.9
2016,12.3,Green Increased Demand,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,-2.4
2016,520.7,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",GOVT and Regulatory,-55.5
2016,520.7,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",GOVT and Regulatory,-55.5
2016,520.7,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,-55.5
2016,520.7,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,-55.5
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Efficiency,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Efficiency,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Environment Protection,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Environment Protection,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Green Construction,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Green Construction,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Manufacturing,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Manufacturing,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Renewable Energy Generation,388.2
2016,"5,905.40",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Renewable Energy Generation,388.2
2016,30.9,Green Increased Demand,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Efficiency,0.4
2016,30.9,Green Increased Demand,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Green Construction,0.4
2016,43,Green New & Emerging,47-4099.02,Solar Thermal Installers and Technicians,Renewable Energy Generation,5.1
2016,43,Green New & Emerging,47-4099.03,Weatherization Installers and Technicians,Efficiency,5.1
2016,77,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Manufacturing,-11.8
2016,77,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Manufacturing,-11.8
2016,77,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Green Construction,-11.8
2016,77,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Green Construction,-11.8
2016,176,Green New & Emerging,49-9099.01,Geothermal Technicians,Renewable Energy Generation,18.7
2016,98.6,Green Increased Demand,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Transportation,8.2
2016,146.2,Green Enhanced Skills,47-2181.00,Roofers,Green Construction,16.2
2016,146.2,Green Enhanced Skills,47-2181.00,Roofers,Green Construction,16.2
2016,145.7,Green Increased Demand,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Manufacturing,1.6
2016,750,Green Enhanced Skills,49-3023.02,Automotive Specialty Technicians,Transportation,NA
2016,47.2,Green Enhanced Skills,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Renewable Energy Generation,0.1
2016,47.2,Green Enhanced Skills,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Manufacturing,0.1
2016,28,Green Enhanced Skills,19-4011.01,Agricultural Technicians,Agriculture and Forestry,5
2016,44.7,Green Enhanced Skills,27-3022.00,Reporters and Correspondents,Environment Protection,-4.5
2016,44.7,Green Enhanced Skills,27-3022.00,Reporters and Correspondents,"Research, Design, and Consulting Services",-4.5
2016,404.8,Green Increased Demand,51-4121.07,Solderers and Brazers,Green Construction,22.5
2016,404.8,Green Increased Demand,51-4121.07,Solderers and Brazers,Manufacturing,22.5
2016,404.8,Green Increased Demand,51-4121.06,"Welders, Cutters, and Welder Fitters",Green Construction,22.5
2016,404.8,Green Increased Demand,51-4121.06,"Welders, Cutters, and Welder Fitters",Manufacturing,22.5
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Environment Protection,7.9
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Environment Protection,7.9
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Green Construction,7.9
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Green Construction,7.9
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Recycling and Waste Reduction,7.9
2016,46.2,Green Enhanced Skills,47-4041.00,Hazardous Materials Removal Workers,Recycling and Waste Reduction,7.9
2016,179.3,Green Increased Demand,53-3021.00,"Bus Drivers, Transit and Intercity",Transportation,16.1
2016,11.3,Green New & Emerging,47-2231.00,Solar Photovoltaic Installers,Renewable Energy Generation,11.8
2016,11.3,Green New & Emerging,47-2231.00,Solar Photovoltaic Installers,Renewable Energy Generation,11.8
2016,182.5,Green Increased Demand,47-2051.00,Cement Masons and Concrete Finishers,Green Construction,23
2016,90,Green New & Emerging,43-5011.01,Freight Forwarders,Transportation,8.6
2016,396.2,Green Enhanced Skills,51-4041.00,Machinists,Manufacturing,7.9
2016,396.2,Green Enhanced Skills,51-4041.00,Machinists,Manufacturing,7.9
2016,396.2,Green Enhanced Skills,51-4041.00,Machinists,Renewable Energy Generation,7.9
2016,396.2,Green Enhanced Skills,51-4041.00,Machinists,Renewable Energy Generation,7.9
2016,"1,871.70",Green Enhanced Skills,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Transportation,108.4
2016,15.6,Green Increased Demand,45-2011.00,Agricultural Inspectors,Agriculture and Forestry,0.7
2016,15.6,Green Increased Demand,45-2011.00,Agricultural Inspectors,Agriculture and Forestry,0.7
2016,15.6,Green Increased Demand,45-2011.00,Agricultural Inspectors,GOVT and Regulatory,0.7
2016,15.6,Green Increased Demand,45-2011.00,Agricultural Inspectors,GOVT and Regulatory,0.7
2016,38,Green Increased Demand,51-2031.00,Engine and Other Machine Assemblers,Manufacturing,-6.5
2016,38,Green Increased Demand,51-2031.00,Engine and Other Machine Assemblers,Manufacturing,-6.5
2016,34.6,Green Enhanced Skills,19-4091.00,"Environmental Science and Protection Technicians, Including Health",Environment Protection,4.2
2016,1206,Green Increased Demand,47-2031.01,Construction Carpenters,Green Construction,NA
2016,1206,Green Increased Demand,47-2031.02,Rough Carpenters,Green Construction,NA
2016,48.7,Green Increased Demand,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,Agriculture and Forestry,0.9
2016,69.6,Green Increased Demand,45-1011.05,First-Line Supervisors of Logging Workers,Environment Protection,-7.3
2016,278.8,Green Enhanced Skills,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Transportation,25.8
2016,278.8,Green Enhanced Skills,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Transportation,25.8
2016,329.4,Green Increased Demand,43-5061.00,"Production, Planning, and Expediting Clerks",Manufacturing,18
2016,329.4,Green Increased Demand,43-5061.00,"Production, Planning, and Expediting Clerks",Manufacturing,18
2016,332.9,Green Enhanced Skills,49-9021.01,Heating and Air Conditioning Mechanics and Installers,Efficiency,48.8
2016,332.9,Green Enhanced Skills,49-9021.01,Heating and Air Conditioning Mechanics and Installers,Green Construction,48.8
2016,332.9,Green Increased Demand,49-9021.02,Refrigeration Mechanics and Installers,Green Construction,48.8
2016,332.9,Green Increased Demand,49-9021.02,Refrigeration Mechanics and Installers,Efficiency,48.8
2016,371.1,Green Increased Demand,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Green Construction,45.8
2016,41,Green Enhanced Skills,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",Renewable Energy Generation,NA
2016,67.3,Green Increased Demand,19-4031.00,Chemical Technicians,Manufacturing,2.7
2016,67.3,Green Increased Demand,19-4031.00,Chemical Technicians,Manufacturing,2.7
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Green Construction,12
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Green Construction,12
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Manufacturing,12
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Manufacturing,12
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Renewable Energy Generation,12
2016,138.9,Green Enhanced Skills,47-2211.00,Sheet Metal Workers,Renewable Energy Generation,12
2016,74.1,Green Increased Demand,51-9011.00,Chemical Equipment Operators and Tenders,Manufacturing,-3.7
2016,76,Green New & Emerging,19-4099.02,Precision Agriculture Technicians,Agriculture and Forestry,9.9
2016,76,Green New & Emerging,19-4099.02,Precision Agriculture Technicians,"Research, Design, and Consulting Services",9.9
2016,76,Green New & Emerging,19-4099.03,Remote Sensing Technicians,"Research, Design, and Consulting Services",9.9
2016,10.4,Green Increased Demand,25-9021.00,Farm and Home Management Advisors,Environment Protection,0.8
2016,10.4,Green Increased Demand,25-9021.00,Farm and Home Management Advisors,Environment Protection,0.8
2016,17,Green Enhanced Skills,17-3025.00,Environmental Engineering Technicians,Environment Protection,2.2
2016,18.1,Green Enhanced Skills,29-9012.00,Occupational Health and Safety Technicians,Manufacturing,1.8
2016,346.9,Green Increased Demand,49-9041.00,Industrial Machinery Mechanics,Manufacturing,23.2
2016,41.8,Green Enhanced Skills,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Manufacturing,-7.3
2016,41.8,Green Enhanced Skills,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Manufacturing,-7.3
2016,524.8,Green Enhanced Skills,47-2152.01,Pipe Fitters and Steamfitters,Green Construction,82.7
2016,480.6,Green Enhanced Skills,47-2152.02,Plumbers,Green Construction,75.2
2016,70.2,Green Increased Demand,47-2221.00,Structural Iron and Steel Workers,Green Construction,9
2016,70.2,Green Increased Demand,47-2221.00,Structural Iron and Steel Workers,Green Construction,9
2016,70.2,Green Increased Demand,47-2221.00,Structural Iron and Steel Workers,Manufacturing,9
2016,70.2,Green Increased Demand,47-2221.00,Structural Iron and Steel Workers,Manufacturing,9
2016,5.8,Green New & Emerging,49-9081.00,Wind Turbine Service Technicians,Renewable Energy Generation,5.6
2016,5.8,Green New & Emerging,49-9081.00,Wind Turbine Service Technicians,Renewable Energy Generation,5.6
2016,12.3,Green Enhanced Skills,47-5041.00,Continuous Mining Machine Operators,Renewable Energy Generation,-0.5
2016,983,Green New & Emerging,41-3099.01,Energy Brokers,Energy Trading,131
2016,99.6,Green Increased Demand,17-3011.01,Architectural Drafters,Green Construction,8.1
2016,39.5,Green Increased Demand,49-9044.00,Millwrights,Manufacturing,3.9
2016,666.9,Green Increased Demand,47-2111.00,Electricians,Green Construction,59.6
2016,666.9,Green Increased Demand,47-2111.00,Electricians,Green Construction,59.6
2016,63.9,Green Enhanced Skills,17-3026.00,Industrial Engineering Technicians,Manufacturing,0.4
2016,184,Green New & Emerging,53-1021.01,Recycling Coordinators,Recycling and Waste Reduction,21
2016,930,Green New & Emerging,17-3027.01,Automotive Engineering Technicians,Transportation,60.8
2016,14,Green Increased Demand,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Transportation,1.2
2016,14,Green Increased Demand,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Transportation,1.2
2016,12,Green New & Emerging,51-8099.01,Biofuels Processing Technicians,Renewable Energy Generation,1.2
2016,12,Green New & Emerging,51-8099.03,Biomass Plant Technicians,Renewable Energy Generation,1.2
2016,12,Green New & Emerging,51-8099.04,Hydroelectric Plant Technicians,Renewable Energy Generation,1.2
2016,12,Green New & Emerging,51-8099.02,Methane/Landfill Gas Generation System Technicians,Renewable Energy Generation,1.2
2016,7,Green Increased Demand,33-3031.00,Fish and Game Wardens,Environment Protection,0.3
2016,7,Green Increased Demand,33-3031.00,Fish and Game Wardens,Environment Protection,0.3
2016,13.8,Green Enhanced Skills,17-3024.00,Electro-Mechanical Technicians,Manufacturing,0.5
2016,14,Green New & Emerging,17-3024.01,Robotics Technicians,Manufacturing,1.2
2016,14,Green New & Emerging,17-3024.01,Robotics Technicians,"Research, Design, and Consulting Services",1.2
2016,628.1,Green Increased Demand,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Manufacturing,-6.7
2016,628.1,Green Increased Demand,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Research, Design, and Consulting Services",-6.7
2016,105.1,Green Enhanced Skills,47-4011.00,Construction and Building Inspectors,GOVT and Regulatory,10.5
2016,105.1,Green Enhanced Skills,47-4011.00,Construction and Building Inspectors,GOVT and Regulatory,10.5
2016,105.1,Green Enhanced Skills,47-4011.00,Construction and Building Inspectors,Green Construction,10.5
2016,105.1,Green Enhanced Skills,47-4011.00,Construction and Building Inspectors,Green Construction,10.5
2016,259.6,Green Enhanced Skills,27-3031.00,Public Relations Specialists,Environment Protection,22.9
2016,259.6,Green Enhanced Skills,27-3031.00,Public Relations Specialists,Environment Protection,22.9
2016,259.6,Green Enhanced Skills,27-3031.00,Public Relations Specialists,"Research, Design, and Consulting Services",22.9
2016,259.6,Green Enhanced Skills,27-3031.00,Public Relations Specialists,"Research, Design, and Consulting Services",22.9
2016,621.4,Green Increased Demand,51-1011.00,First-Line Supervisors of Production and Operating Workers,Manufacturing,-1.8
2016,621.4,Green Increased Demand,51-1011.00,First-Line Supervisors of Production and Operating Workers,Manufacturing,-1.8
2016,35.7,Green Increased Demand,51-8021.00,Stationary Engineers and Boiler Operators,Efficiency,1.7
2016,35.7,Green Increased Demand,51-8021.00,Stationary Engineers and Boiler Operators,Efficiency,1.7
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,Efficiency,3.6
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,Efficiency,3.6
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,Green Construction,3.6
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,Green Construction,3.6
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,"Research, Design, and Consulting Services",3.6
2016,34.5,Green Enhanced Skills,13-1151.00,Training and Development Specialists,"Research, Design, and Consulting Services",3.6
2016,22,Green Enhanced Skills,19-1031.01,Soil and Water Conservationists,Environment Protection,NA
2016,22,Green Enhanced Skills,19-1031.01,Soil and Water Conservationists,GOVT and Regulatory,NA
2016,33.2,Green Increased Demand,51-8091.00,Chemical Plant and System Operators,Manufacturing,-3.1
2016,38.8,Green Increased Demand,53-4011.00,Locomotive Engineers,Transportation,-1.1
2016,17.2,Green Increased Demand,47-2011.00,Boilermakers,Efficiency,1.5
2016,17.2,Green Increased Demand,47-2011.00,Boilermakers,Efficiency,1.5
2016,17.2,Green Increased Demand,47-2011.00,Boilermakers,Green Construction,1.5
2016,17.2,Green Increased Demand,47-2011.00,Boilermakers,Green Construction,1.5
2016,8,Green Enhanced Skills,23-1022.00,"Arbitrators, Mediators, and Conciliators",GOVT and Regulatory,0.4
2016,8,Green Enhanced Skills,23-1022.00,"Arbitrators, Mediators, and Conciliators","Research, Design, and Consulting Services",0.4
2016,123.3,Green Enhanced Skills,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Research, Design, and Consulting Services",-3
2016,13.7,Green Increased Demand,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Agriculture and Forestry,-0.9
2016,41.8,Green Increased Demand,53-4031.00,Railroad Conductors and Yardmasters,Transportation,-0.9
2016,41.8,Green Increased Demand,53-4031.00,Railroad Conductors and Yardmasters,Transportation,-0.9
2016,77,Green New & Emerging,17-3029.02,Electrical Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.02,Electrical Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.03,Electromechanical Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.03,Electromechanical Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.04,Electronics Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.04,Electronics Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.10,Fuel Cell Technicians,Transportation,7.1
2016,77,Green New & Emerging,17-3029.05,Industrial Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.05,Industrial Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.06,Manufacturing Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.06,Manufacturing Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.09,Manufacturing Production Technicians,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.09,Manufacturing Production Technicians,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.07,Mechanical Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.07,Mechanical Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.12,Nanotechnology Engineering Technicians,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.11,Nanotechnology Engineering Technologists,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.11,Nanotechnology Engineering Technologists,"Research, Design, and Consulting Services",7.1
2016,77,Green New & Emerging,17-3029.08,Photonics Technicians,Manufacturing,7.1
2016,77,Green New & Emerging,17-3029.08,Photonics Technicians,"Research, Design, and Consulting Services",7.1
2016,19.4,Green Increased Demand,19-1023.00,Zoologists and Wildlife Biologists,Environment Protection,1.5
2016,19.9,Green Enhanced Skills,19-1013.00,Soil and Plant Scientists,Environment Protection,1.8
2016,376,Green New & Emerging,41-3031.03,Securities and Commodities Traders,Energy Trading,38
2016,376,Green New & Emerging,41-3031.03,Securities and Commodities Traders,"Research, Design, and Consulting Services",38
2016,137,Green Increased Demand,17-3023.01,Electronics Engineering Technicians,Manufacturing,2.7
2016,603,Green New & Emerging,47-1011.03,Solar Energy Installation Managers,Renewable Energy Generation,68.5
2016,462.2,Green Increased Demand,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Manufacturing,32.8
2016,462.2,Green Increased Demand,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Manufacturing,32.8
2016,39.7,Green Increased Demand,27-1021.00,Commercial and Industrial Designers,Manufacturing,1.8
2016,39.7,Green Increased Demand,27-1021.00,Commercial and Industrial Designers,"Research, Design, and Consulting Services",1.8
2016,268.1,Green Enhanced Skills,11-9013.02,Farm and Ranch Managers,Agriculture and Forestry,-10.1
2016,24.7,Green Enhanced Skills,17-1012.00,Landscape Architects,Agriculture and Forestry,1.6
2016,24.7,Green Enhanced Skills,17-1012.00,Landscape Architects,Environment Protection,1.6
2016,24.7,Green Enhanced Skills,17-1012.00,Landscape Architects,Green Construction,1.6
2016,288,Green New & Emerging,13-1041.07,Regulatory Affairs Specialists,GOVT and Regulatory,25.9
2016,136,Green New & Emerging,13-2099.01,Financial Quantitative Analysts,"Research, Design, and Consulting Services",13.1
2016,136,Green New & Emerging,13-2099.03,Investment Underwriters,Energy Trading,13.1
2016,136,Green New & Emerging,13-2099.03,Investment Underwriters,"Research, Design, and Consulting Services",13.1
2016,136,Green New & Emerging,13-2099.02,Risk Management Specialists,"Research, Design, and Consulting Services",13.1
2016,1024,Green New & Emerging,13-1199.01,Energy Auditors,Efficiency,104.2
2016,1024,Green New & Emerging,13-1199.01,Energy Auditors,GOVT and Regulatory,104.2
2016,"1,024",Green New & Emerging,13-1199.05,Sustainability Specialists,GOVT and Regulatory,-919.8
2016,120.9,Green Increased Demand,49-9051.00,Electrical Power-Line Installers and Repairers,Efficiency,16.8
2016,128.2,Green Increased Demand,19-2041.00,"Environmental Scientists and Specialists, Including Health",Environment Protection,15.1
2016,90,Green New & Emerging,19-2041.01,Climate Change Analysts,Environment Protection,9.5
2016,90,Green New & Emerging,19-2041.02,Environmental Restoration Planners,Environment Protection,9.5
2016,90,Green New & Emerging,19-2041.03,Industrial Ecologists,Environment Protection,9.5
2016,83.7,Green Increased Demand,29-9011.00,Occupational Health and Safety Specialists,"Research, Design, and Consulting Services",6.8
2016,83.7,Green Increased Demand,29-9011.00,Occupational Health and Safety Specialists,Manufacturing,6.8
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,GOVT and Regulatory,4.6
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,GOVT and Regulatory,4.6
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,Green Construction,4.6
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,Green Construction,4.6
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,"Research, Design, and Consulting Services",4.6
2016,36,Green Enhanced Skills,19-3051.00,Urban and Regional Planners,"Research, Design, and Consulting Services",4.6
2016,28.2,Green Enhanced Skills,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Efficiency,1.7
2016,28.2,Green Enhanced Skills,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",GOVT and Regulatory,1.7
2016,28.2,Green Enhanced Skills,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Transportation,1.7
2016,149,Green New & Emerging,13-1081.02,Logistics Analysts,Manufacturing,15.6
2016,149,Green New & Emerging,13-1081.02,Logistics Analysts,"Research, Design, and Consulting Services",15.6
2016,149,Green New & Emerging,13-1081.02,Logistics Analysts,Transportation,15.6
2016,149,Green New & Emerging,13-1081.01,Logistics Engineers,Manufacturing,15.6
2016,149,Green New & Emerging,13-1081.01,Logistics Engineers,"Research, Design, and Consulting Services",15.6
2016,149,Green New & Emerging,13-1081.01,Logistics Engineers,Transportation,15.6
2016,88.3,Green Increased Demand,19-2031.00,Chemists,Manufacturing,5.7
2016,88.3,Green Increased Demand,19-2031.00,Chemists,"Research, Design, and Consulting Services",5.7
2016,6.9,Green Enhanced Skills,19-4051.01,Nuclear Equipment Operation Technicians,Renewable Energy Generation,0.1
2016,6.7,Green Increased Demand,19-2043.00,Hydrologists,Environment Protection,0.7
2016,6.7,Green Increased Demand,19-2043.00,Hydrologists,"Research, Design, and Consulting Services",0.7
2016,2.7,Green Enhanced Skills,17-1011.00,"Architects, Except Landscape and Naval",Green Construction,0.2
2016,2.7,Green Enhanced Skills,17-1011.00,"Architects, Except Landscape and Naval","Research, Design, and Consulting Services",0.2
